,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
349102,29200132003361,2920013200336,2920013200,336,1,180,광주광역시,광산구,신룡동,292004289538.0,임곡신촌길,13.0,31.0
349103,29200132004842,2920013200484,2920013200,484,2,207,광주광역시,광산구,신룡동,-,-,-,-
349104,29200132005231,2920013200523,2920013200,523,1,1,광주광역시,광산구,신룡동,292004289598.0,천동길,10.0,0.0
349105,29200134004321,2920013400432,2920013400,432,1,355,광주광역시,광산구,임곡동,292004289691.0,하림길,45.0,0.0
349106,29200134004351,2920013400435,2920013400,435,1,550,광주광역시,광산구,임곡동,292004289691.0,하림길,45.0,1.0
349101,292001310010290,29200131001029,2920013100,1029,0,7277,광주광역시,광산구,고룡동,-,-,-,-
349108,29200134004501,2920013400450,2920013400,450,1,454,광주광역시,광산구,임곡동,-,-,-,-
349110,29200134004516,2920013400451,2920013400,451,6,266,광주광역시,광산구,임곡동,292003163001.0,고봉로,790.0,0.0
349111,29200134004903,2920013400490,2920013400,490,3,12,광주광역시,광산구,임곡동,292003163001.0,고봉로,797.0,0.0
332770,29170101002755,2917010100275,2917010100,275,5,3573,광주광역시,북구,중흥동,291703162084.0,호동로,24.0,0.0
349107,29200134004470,2920013400447,2920013400,447,0,83,광주광역시,광산구,임곡동,292004289380.0,신임곡길,15.0,4.0
349109,29200134004512,2920013400451,2920013400,451,2,3657,광주광역시,광산구,임곡동,292003163001.0,고봉로,788.0,0.0
349069,292001280055014,2920012800550,2920012800,550,14,2643,광주광역시,광산구,월곡동,292003163040.0,월곡로,11.0,1.0
349098,29200131009860,2920013100986,2920013100,986,0,6902,광주광역시,광산구,고룡동,292003163089.0,진곡산단6번로,25.0,30.0
349063,292001280053119,2920012800531,2920012800,531,19,647,광주광역시,광산구,월곡동,292004289211.0,산정공원로2번길,48.0,0.0
349064,29200128005321,2920012800532,2920012800,532,1,6894,광주광역시,광산구,월곡동,292004289191.0,사암로287번길,1.0,0.0
349065,29200128005359,2920012800535,2920012800,535,9,2492,광주광역시,광산구,월곡동,292003163016.0,산정공원로,8.0,1.0
349066,29200128005361,2920012800536,2920012800,536,1,5050,광주광역시,광산구,월곡동,292003163014.0,사암로,279.0,0.0
349067,29200128005390,2920012800539,2920012800,539,0,223,광주광역시,광산구,월곡동,292003163016.0,산정공원로,27.0,5.0
349068,29200128005477,2920012800547,2920012800,547,7,4143,광주광역시,광산구,월곡동,292003163014.0,사암로,286.0,0.0
349078,292001280067911,2920012800679,2920012800,679,11,9916,광주광역시,광산구,월곡동,292002009008.0,하남대로,154.0,0.0
349077,29200128006792,2920012800679,2920012800,679,2,2016,광주광역시,광산구,월곡동,292003163014.0,사암로,396.0,0.0
349076,29200128006145,2920012800614,2920012800,614,5,211,광주광역시,광산구,월곡동,-,-,-,-
349075,292001280061217,2920012800612,2920012800,612,17,1665,광주광역시,광산구,월곡동,292003163042.0,월곡산정로,87.0,1.0
349074,29200128005984,2920012800598,2920012800,598,4,500,광주광역시,광산구,월곡동,292004289497.0,월곡로40번길,12.0,0.0
349073,29200128005759,2920012800575,2920012800,575,9,542,광주광역시,광산구,월곡동,292004289503.0,월곡반월로48번길,28.0,0.0
349072,29200128005757,2920012800575,2920012800,575,7,2862,광주광역시,광산구,월곡동,292003163040.0,월곡로,43.0,0.0
349071,29200128005741,2920012800574,2920012800,574,1,624,광주광역시,광산구,월곡동,292003163041.0,월곡반월로,46.0,0.0
349070,29200128005542,2920012800554,2920012800,554,2,1304,광주광역시,광산구,월곡동,292003163041.0,월곡반월로,53.0,0.0
349079,29200128006806,2920012800680,2920012800,680,6,43164,광주광역시,광산구,월곡동,292004289197.0,사암로390번길,37.0,0.0
349080,292001280068010,2920012800680,2920012800,680,10,4790,광주광역시,광산구,월곡동,292004289197.0,사암로390번길,17.0,0.0
349081,29200128006816,2920012800681,2920012800,681,6,27553,광주광역시,광산구,월곡동,292004289194.0,사암로340번길,19.0,0.0
349082,29200128006837,2920012800683,2920012800,683,7,10368,광주광역시,광산구,월곡동,292004289194.0,사암로340번길,39.0,0.0
349097,29200131009840,2920013100984,2920013100,984,0,14290,광주광역시,광산구,고룡동,-,-,-,-
349096,29200131009760,2920013100976,2920013100,976,0,2952,광주광역시,광산구,고룡동,292003163089.0,진곡산단6번로,25.0,5.0
349095,29200131008756,2920013100875,2920013100,875,6,415,광주광역시,광산구,고룡동,292004289015.0,고봉로506번길,51.0,0.0
349094,29200131004813,2920013100481,2920013100,481,3,284,광주광역시,광산구,고룡동,-,-,-,-
349093,29200131004790,2920013100479,2920013100,479,0,492,광주광역시,광산구,고룡동,292004289015.0,고봉로506번길,141.0,1.0
349092,29200131001482,2920013100148,2920013100,148,2,219,광주광역시,광산구,고룡동,-,-,-,-
349091,2920013100310,292001310031,2920013100,31,0,720,광주광역시,광산구,고룡동,-,-,-,-
349099,29200131009980,2920013100998,2920013100,998,0,1976,광주광역시,광산구,고룡동,292003163045.0,임곡로,425.0,21.0
349090,29200130002250,2920013000225,2920013000,225,0,1831,광주광역시,광산구,산막동,-,-,-,-
349112,29200134005321,2920013400532,2920013400,532,1,2,광주광역시,광산구,임곡동,292003163001.0,고봉로,775.0,0.0
349088,292001290039415,2920012900394,2920012900,394,15,171,광주광역시,광산구,등임동,292003163010.0,박호등임로,495.0,6.0
349087,29200129001916,292001290019,2920012900,19,16,692,광주광역시,광산구,등임동,292003163010.0,박호등임로,579.0,1.0
349086,2920012900121,292001290012,2920012900,12,1,8988,광주광역시,광산구,등임동,292003163001.0,고봉로,415.0,0.0
349085,2920012900111,292001290011,2920012900,11,1,444,광주광역시,광산구,등임동,292003163001.0,고봉로,417.0,0.0
349084,29200128006851,2920012800685,2920012800,685,1,444774,광주광역시,광산구,월곡동,292004289194.0,사암로340번길,30.0,0.0
349083,29200128006839,2920012800683,2920012800,683,9,18687,광주광역시,광산구,월곡동,292004289194.0,사암로340번길,31.0,0.0
349089,2920013000691,292001300069,2920013000,69,1,90,광주광역시,광산구,산막동,292004289486.0,원산막길,188.0,0.0
349100,292001310010050,29200131001005,2920013100,1005,0,561,광주광역시,광산구,고룡동,292003163090.0,진곡산단중앙로,250.0,2.0
348586,29200127009735,2920012700973,2920012700,973,5,4,광주광역시,광산구,산정동,292003163017.0,산정로,9.0,0.0
348462,292001230013270,29200123001327,2920012300,1327,0,1161,광주광역시,광산구,장덕동,292004289678.0,풍영로229번안길,2.0,14.0
348663,2920010900107629,29200109001076,2920010900,1076,29,146,광주광역시,광산구,우산동,292004289200.0,사암로92번길,29.0,0.0
348662,2920010900107519,29200109001075,2920010900,1075,19,512,광주광역시,광산구,우산동,292004289200.0,사암로92번길,35.0,20.0
348661,2920010900107514,29200109001075,2920010900,1075,14,6,광주광역시,광산구,우산동,292004289200.0,사암로92번길,47.0,9.0
348660,2920010900107512,29200109001075,2920010900,1075,12,1083,광주광역시,광산구,우산동,292004289200.0,사암로92번길,35.0,38.0
348659,292001090010759,29200109001075,2920010900,1075,9,1759,광주광역시,광산구,우산동,292004289200.0,사암로92번길,35.0,12.0
348658,292001090010758,29200109001075,2920010900,1075,8,148,광주광역시,광산구,우산동,292004289200.0,사암로92번길,37.0,0.0
348664,292001090010787,29200109001078,2920010900,1078,7,4527,광주광역시,광산구,우산동,292003163003.0,금봉로,99.0,0.0
348657,2920010900107411,29200109001074,2920010900,1074,11,6356,광주광역시,광산구,우산동,292004289476.0,우산로96번길,82.0,0.0
348655,292001090010741,29200109001074,2920010900,1074,1,47630,광주광역시,광산구,우산동,292004289476.0,우산로96번길,66.0,0.0
348654,292001090010732,29200109001073,2920010900,1073,2,746,광주광역시,광산구,우산동,292004289200.0,사암로92번길,69.0,35.0
348653,292001090010729,29200109001072,2920010900,1072,9,671,광주광역시,광산구,우산동,292004289200.0,사암로92번길,69.0,22.0
348652,292001090010724,29200109001072,2920010900,1072,4,161,광주광역시,광산구,우산동,-,-,-,-
348651,2920010900107112,29200109001071,2920010900,1071,12,56,광주광역시,광산구,우산동,292004289200.0,사암로92번길,89.0,39.0
348650,2920010900107012,29200109001070,2920010900,1070,12,336,광주광역시,광산구,우산동,292004289200.0,사암로92번길,89.0,8.0
348656,2920010900107410,29200109001074,2920010900,1074,10,715,광주광역시,광산구,우산동,292004289200.0,사암로92번길,57.0,0.0
348665,292001090011800,29200109001180,2920010900,1180,0,1454,광주광역시,광산구,우산동,292004289475.0,우산로95번길,12.0,0.0
348666,292001090012250,29200109001225,2920010900,1225,0,613,광주광역시,광산구,우산동,292003163037.0,우산로,119.0,0.0
348667,292001090012390,29200109001239,2920010900,1239,0,1039,광주광역시,광산구,우산동,292003163037.0,우산로,111.0,0.0
348751,292001090016210,29200109001621,2920010900,1621,0,4739,광주광역시,광산구,우산동,-,-,-,-
348752,2920010900722,292001090072,2920010900,72,2,190347,광주광역시,광산구,우산동,-,-,-,-
348753,29200110003972,2920011000397,2920011000,397,2,4379,광주광역시,광산구,황룡동,292003163021.0,송도로,92.0,0.0
348754,29200110004007,2920011000400,2920011000,400,7,82,광주광역시,광산구,황룡동,292003163021.0,송도로,86.0,2.0
348755,292001100041014,2920011000410,2920011000,410,14,197,광주광역시,광산구,황룡동,-,-,-,-
348756,2920011200106,292001120010,2920011200,10,6,152,광주광역시,광산구,비아동,292003163013.0,비아중앙로,108.0,0.0
348676,292001090013691,29200109001369,2920010900,1369,1,428,광주광역시,광산구,우산동,292003163062.0,풍영철길로,28.0,0.0
348675,292001090013691,29200109001369,2920010900,1369,1,428,광주광역시,광산구,우산동,292003163062.0,풍영철길로,30.0,0.0
348674,292001090013691,29200109001369,2920010900,1369,1,428,광주광역시,광산구,우산동,292003163062.0,풍영철길로,24.0,0.0
348673,292001090013624,29200109001362,2920010900,1362,4,3077,광주광역시,광산구,우산동,292003163062.0,풍영철길로,14.0,1.0
348672,292001090013444,29200109001344,2920010900,1344,4,1026,광주광역시,광산구,우산동,292003163062.0,풍영철길로,2.0,0.0
348671,292001090013441,29200109001344,2920010900,1344,1,10090,광주광역시,광산구,우산동,292003163062.0,풍영철길로,6.0,0.0
348670,292001090013436,29200109001343,2920010900,1343,6,13090,광주광역시,광산구,우산동,-,-,-,-
348669,292001090012950,29200109001295,2920010900,1295,0,3573,광주광역시,광산구,우산동,292004289471.0,우산로107번길,54.0,0.0
348668,292001090012450,29200109001245,2920010900,1245,0,891,광주광역시,광산구,우산동,292004289471.0,우산로107번길,16.0,0.0
