,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
365828,302001120062210,3020011200622,3020011200,622,10,1848,대전광역시,유성구,구암동,302004301312.0,월드컵대로253번안길,9.0,0.0
365785,30200112004925,3020011200492,3020011200,492,5,2308,대전광역시,유성구,구암동,302003342038.0,덕명로,132.0,8.0
365829,30200112006235,3020011200623,3020011200,623,5,220,대전광역시,유성구,구암동,302004301339.0,유성대로646번길,46.0,0.0
365830,30200112006236,3020011200623,3020011200,623,6,18931,대전광역시,유성구,구암동,302004301339.0,유성대로646번길,52.0,0.0
365831,30200112006236,3020011200623,3020011200,623,6,18931,대전광역시,유성구,구암동,302004301313.0,월드컵대로275번길,49.0,0.0
365784,30200112004762,3020011200476,3020011200,476,2,1457,대전광역시,유성구,구암동,-,-,-,-
365777,30200112004241,3020011200424,3020011200,424,1,54,대전광역시,유성구,구암동,302003010030.0,현충원로,451.0,21.0
365782,302001120043249,3020011200432,3020011200,432,49,95,대전광역시,유성구,구암동,302003010030.0,현충원로,382.0,1.0
365781,30200112004290,3020011200429,3020011200,429,0,5344,대전광역시,유성구,구암동,302003010030.0,현충원로,401.0,0.0
365780,30200112004287,3020011200428,3020011200,428,7,1136,대전광역시,유성구,구암동,302003010030.0,현충원로,405.0,0.0
365779,302001120042550,3020011200425,3020011200,425,50,1210,대전광역시,유성구,구암동,302003010030.0,현충원로,444.0,0.0
365778,302001120042423,3020011200424,3020011200,424,23,157,대전광역시,유성구,구암동,302004301452.0,현충원로439번길,32.0,0.0
365827,302001120061623,3020011200616,3020011200,616,23,284,대전광역시,유성구,구암동,302004301314.0,월드컵대로289번길,42.0,0.0
365783,30200112004620,3020011200462,3020011200,462,0,145,대전광역시,유성구,구암동,302004301526.0,박산로46번길,55.0,0.0
365826,30200112006159,3020011200615,3020011200,615,9,1118,대전광역시,유성구,구암동,302004301316.0,월드컵대로299번길,9.0,0.0
365822,30200112006118,3020011200611,3020011200,611,8,2254,대전광역시,유성구,구암동,302004301340.0,유성대로654번길,152.0,1.0
365824,302001120061123,3020011200611,3020011200,611,23,513,대전광역시,유성구,구암동,302004301145.0,도안대로549번안길,50.0,0.0
365804,302001120059418,3020011200594,3020011200,594,18,1463,대전광역시,유성구,구암동,-,-,-,-
365803,302001120059320,3020011200593,3020011200,593,20,1073,대전광역시,유성구,구암동,302004301017.0,계룡로32번길,35.0,0.0
365802,30200112005913,3020011200591,3020011200,591,3,328,대전광역시,유성구,구암동,302004301016.0,계룡로26번길,28.0,0.0
365801,302001120059016,3020011200590,3020011200,590,16,2692,대전광역시,유성구,구암동,302004301015.0,계룡로18번길,38.0,0.0
365788,302001120051114,3020011200511,3020011200,511,14,5406,대전광역시,유성구,구암동,-,-,-,-
365799,30200112005882,3020011200588,3020011200,588,2,266,대전광역시,유성구,구암동,302003010024.0,계룡로,20.0,0.0
365789,30200112005143,3020011200514,3020011200,514,3,739,대전광역시,유성구,구암동,-,-,-,-
365805,30200112006005,3020011200600,3020011200,600,5,272,대전광역시,유성구,구암동,302004301341.0,유성대로668번길,21.0,0.0
365798,30200112005875,3020011200587,3020011200,587,5,97,대전광역시,유성구,구암동,302004301014.0,계룡로16번길,15.0,0.0
