,Unnamed: 0,시군구법정동번지코드,시군구법정동번코드_x,시군구법정동코드_x,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번,시군구법정동번코드_y,시군구법정동코드_y,번,지,주소,분류,기업,이름,비고,임차여부,전력사용량
0,78383,114401270016000,11440127001600,1144012700,1600,0,5290128,서울특별시,마포구,상암동,114403113019.0,월드컵북로,416.0,0.0,11440127001600,1144012700,1600,0,서울특별시 마포구 월드컵북로 416(상암동 1600),통신,LG U+,LG U+상암센터,-,-,
1,76740,114401270015850,11440127001585,1144012700,1585,0,3007180,서울특별시,마포구,상암동,114404139555.0,월드컵북로60길,17.0,0.0,11440127001585,1144012700,1585,0,서울시 마포구 월드컵북로 60길 17,금융,우리금융,우리금융 데이터센터,-,-,
2,72411,11440109001689,1144010900168,1144010900,168,9,1008864,서울특별시,마포구,염리동,114403113005.0,독막로,311.0,0.0,1144010900168,1144010900,168,9,서울특별시 마포구 독막로 311 재화스퀘어,민간,다우기술,다우IDC 제 1센터(마포),-,-,
3,123617,116501080014211,11650108001421,1165010800,1421,1,1526400,서울특별시,서초구,서초동,116504163077.0,남부순환로337가길,40.0,0.0,11650108001421,1165010800,1421,1,서울 서초구 남부순환로337가길 40(서초동1421-1),통신,LG U+,LG U+서초 2센터,-,-,
4,126053,11680101006753,1168010100675,1168010100,675,3,221394,서울특별시,강남구,역삼동,116803005086.0,언주로,517.0,0.0,1168010100675,1168010100,675,3,서울특별시 강남구 언주로 517 (역삼동 675-3),통신,KT,KT 강남IDC,-,-,
5,119337,116501080017101,11650108001710,1165010800,1710,1,6739343,서울특별시,서초구,서초동,116504163300.0,법원로1길,6.0,0.0,11650108001710,1165010800,1710,1,서울특별시 서초구 법원로 1길 6 (서울특별시 서초구 서초동 1710-1),통신,"SK브로드밴드,다우기술(제2센터),코레일관광개발(주) (공공)",서초센터,-,-,
6,117632,116501080014231,11650108001423,1165010800,1423,1,2263984,서울특별시,서초구,서초동,116502000003.0,남부순환로,2481.0,0.0,11650108001423,1165010800,1423,1,서울특별시 서초구 남부순환로 2481(서초동 1423-1),통신,LG U+,LG U+서초 1센터,-,-,
7,83592,11470102009244,1147010200924,1147010200,924,4,16679808,서울특별시,양천구,목동,114703114001.0,목동동로,233.0,5.0,1147010200924,1147010200,924,4,서울시 양천구 목동동로 233-5 (목동 924-4),통신,"KT,AWS, 메리츠금융그룹",KT 목동IDC 1,-,-,
8,82858,114401270015860,11440127001586,1144012700,1586,0,4791420,서울특별시,마포구,상암동,114404139555.0,월드컵북로60길,24.0,0.0,11440127001586,1144012700,1586,0,"서울 특별시 마포구 월드컵북로 60길 24,서울특별시 마포구 상암동 1586",민간,"삼성SDS,KINX,에퀴닉스(리츠) (SL1 서울 Equinix International Business Exchange™(IBX®)",삼성SDS 상암IT센터,-,-,
9,81185,114401270015970,11440127001597,1144012700,1597,0,480744,서울특별시,마포구,상암동,114404139549.0,월드컵북로54길,17.0,0.0,11440127001597,1144012700,1597,0,서울 마포구 월드컵북로54길 17 사보이시티 오피스동 4층,공공,한국주택금융공사,한국주택금융공사 상암IT센터,-,-,
10,92458,115301020019712,1153010200197,1153010200,197,12,1585264,서울특별시,구로구,구로동,115304148335.0,디지털로31길,61.0,0.0,1153010200197,1153010200,197,12,서울 구로구 디지털로 31길 61,민간,알리바바,알리바바,-,-,
