,시군구법정동번지코드,시군구법정동번코드,시군구법정동코드,본번,부번,사용량_KWH,시도명,시군구명,법정동명,새주소대로로코드,새주소대로로명,새주소본번,새주소부번
1353146,501102592113504,50110259211350,5011025921,1350,4,122,제주특별자치도,제주시,조천읍 신촌리,501103349117.0,신와로,158.0,0.0
1353147,501102592113861,50110259211386,5011025921,1386,1,894,제주특별자치도,제주시,조천읍 신촌리,501103349120.0,신조로,1.0,0.0
1353136,501102563114325,50110256311432,5011025631,1432,5,350,제주특별자치도,제주시,구좌읍 하도리,501103349070.0,문주란로,5.0,0.0
1353149,501102592117322,50110259211732,5011025921,1732,2,2950,제주특별자치도,제주시,조천읍 신촌리,501103349235.0,일주동로,762.0,0.0
1353150,501102592117426,50110259211742,5011025921,1742,6,265,제주특별자치도,제주시,조천읍 신촌리,501104848175.0,신촌남8길,27.0,0.0
1353145,501102592112200,50110259211220,5011025921,1220,0,606,제주특별자치도,제주시,조천읍 신촌리,-,-,-,-
1353152,501102592117911,50110259211791,5011025921,1791,1,915,제주특별자치도,제주시,조천읍 신촌리,501103349112.0,신북로,74.0,0.0
1353148,5011025921172011,50110259211720,5011025921,1720,11,3977,제주특별자치도,제주시,조천읍 신촌리,501103349235.0,일주동로,733.0,0.0
1353151,501102592117655,50110259211765,5011025921,1765,5,618,제주특별자치도,제주시,조천읍 신촌리,501104848172.0,신촌8길,6.0,3.0
1353143,501102563133076,50110256313307,5011025631,3307,6,70,제주특별자치도,제주시,구좌읍 하도리,501103349023.0,구좌로,178.0,0.0
1353144,501102563133147,50110256313314,5011025631,3314,7,107,제주특별자치도,제주시,구좌읍 하도리,501103349235.0,일주동로,3267.0,9.0
1353142,5011025631321011,50110256313210,5011025631,3210,11,518,제주특별자치도,제주시,구좌읍 하도리,501104847647.0,면수길,13.0,0.0
1353141,501102563132041,50110256313204,5011025631,3204,1,66350,제주특별자치도,제주시,구좌읍 하도리,-,-,-,-
1353140,501102563128670,50110256312867,5011025631,2867,0,610,제주특별자치도,제주시,구좌읍 하도리,-,-,-,-
1353139,501102563116254,50110256311625,5011025631,1625,4,37,제주특별자치도,제주시,구좌읍 하도리,501104847685.0,문주란로1길,41.0,0.0
1353134,501102563114284,50110256311428,5011025631,1428,4,44,제주특별자치도,제주시,구좌읍 하도리,501103349070.0,문주란로,8.0,0.0
1353135,501102563114303,50110256311430,5011025631,1430,3,1739,제주특별자치도,제주시,구좌읍 하도리,501103349235.0,일주동로,3417.0,0.0
1353153,501102592118122,50110259211812,5011025921,1812,2,901,제주특별자치도,제주시,조천읍 신촌리,501104848168.0,신촌4길,12.0,0.0
1353138,501102563115482,50110256311548,5011025631,1548,2,165,제주특별자치도,제주시,구좌읍 하도리,-,-,-,-
1353137,501102563115310,50110256311531,5011025631,1531,0,267,제주특별자치도,제주시,구좌읍 하도리,-,-,-,-
1353133,501102563113234,50110256311323,5011025631,1323,4,347,제주특별자치도,제주시,구좌읍 하도리,-,-,-,-
1353154,501102592118811,50110259211881,5011025921,1881,1,147,제주특별자치도,제주시,조천읍 신촌리,501104848169.0,신촌5길,10.0,2.0
1353167,501102592124840,50110259212484,5011025921,2484,0,861,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,63.0,0.0
1353156,501102592119491,50110259211949,5011025921,1949,1,910,제주특별자치도,제주시,조천읍 신촌리,501104848173.0,신촌9길,40.0,8.0
1353177,501102592130710,50110259213071,5011025921,3071,0,7,제주특별자치도,제주시,조천읍 신촌리,501104848181.0,신촌서4길,39.0,0.0
1353176,501102592128460,50110259212846,5011025921,2846,0,144,제주특별자치도,제주시,조천읍 신촌리,-,-,-,-
1353178,501102592130770,50110259213077,5011025921,3077,0,19,제주특별자치도,제주시,조천읍 신촌리,-,-,-,-
1353179,501102592131713,50110259213171,5011025921,3171,3,13008,제주특별자치도,제주시,조천읍 신촌리,501103349235.0,일주동로,650.0,8.0
1353180,501102592131901,50110259213190,5011025921,3190,1,1994,제주특별자치도,제주시,조천읍 신촌리,501103349235.0,일주동로,649.0,43.0
1353132,501102563112560,50110256311256,5011025631,1256,0,720,제주특별자치도,제주시,구좌읍 하도리,501104848969.0,하도11길,23.0,0.0
1353181,501102592132441,50110259213244,5011025921,3244,1,285,제주특별자치도,제주시,조천읍 신촌리,501103349164.0,원당북로,178.0,40.0
1353175,501102592127581,50110259212758,5011025921,2758,1,4,제주특별자치도,제주시,조천읍 신촌리,501103349117.0,신와로,69.0,0.0
1353174,501102592127175,50110259212717,5011025921,2717,5,1202,제주특별자치도,제주시,조천읍 신촌리,501104848174.0,신촌남1길,69.0,0.0
1353173,501102592127174,50110259212717,5011025921,2717,4,1562,제주특별자치도,제주시,조천읍 신촌리,501104848174.0,신촌남1길,69.0,1.0
1353172,501102592127144,50110259212714,5011025921,2714,4,493,제주특별자치도,제주시,조천읍 신촌리,501104848174.0,신촌남1길,53.0,6.0
1353171,501102592127030,50110259212703,5011025921,2703,0,998,제주특별자치도,제주시,조천읍 신촌리,501104848174.0,신촌남1길,50.0,0.0
1353170,501102592125761,50110259212576,5011025921,2576,1,10656,제주특별자치도,제주시,조천읍 신촌리,501103349112.0,신북로,37.0,0.0
1353169,501102592125513,50110259212551,5011025921,2551,3,1521,제주특별자치도,제주시,조천읍 신촌리,501104848167.0,신촌3길,13.0,0.0
1353168,501102592124931,50110259212493,5011025921,2493,1,3042,제주특별자치도,제주시,조천읍 신촌리,501103349164.0,원당북로,197.0,20.0
1353166,501102592124694,50110259212469,5011025921,2469,4,2650,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,72.0,1.0
1353165,501102592124481,50110259212448,5011025921,2448,1,181,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,86.0,16.0
1353164,501102592124051,50110259212405,5011025921,2405,1,169,제주특별자치도,제주시,조천읍 신촌리,501104848178.0,신촌북3길,58.0,1.0
1353163,501102592123953,50110259212395,5011025921,2395,3,356,제주특별자치도,제주시,조천읍 신촌리,501104848182.0,신촌서5길,110.0,0.0
